Driver,LapNumber,LapTime,Compound,Stint,PitOutTime,PitInTime
NOR,1.0,0 days 00:01:26.181000,INTERMEDIATE,1.0,,
NOR,2.0,0 days 00:01:37.774000,INTERMEDIATE,1.0,,0 days 01:05:14.626000
NOR,3.0,0 days 00:01:24.075000,MEDIUM,2.0,0 days 01:05:38.119000,
NOR,4.0,0 days 00:01:21.170000,MEDIUM,2.0,,
NOR,5.0,0 days 00:01:18.603000,MEDIUM,2.0,,
NOR,6.0,0 days 00:01:19.343000,MEDIUM,2.0,,
NOR,7.0,0 days 00:01:18.079000,MEDIUM,2.0,,
NOR,8.0,0 days 00:01:18.027000,MEDIUM,2.0,,
NOR,9.0,0 days 00:01:17.106000,MEDIUM,2.0,,
NOR,10.0,0 days 00:01:17.226000,MEDIUM,2.0,,
NOR,11.0,0 days 00:01:17.933000,MEDIUM,2.0,,
NOR,12.0,0 days 00:01:16.868000,MEDIUM,2.0,,
NOR,13.0,0 days 00:01:17.680000,MEDIUM,2.0,,
NOR,14.0,0 days 00:01:16.801000,MEDIUM,2.0,,
NOR,15.0,0 days 00:01:38.836000,MEDIUM,2.0,,0 days 01:22:31.004000
NOR,16.0,0 days 00:01:23.114000,MEDIUM,3.0,0 days 01:22:59.857000,
NOR,17.0,0 days 00:01:17.206000,MEDIUM,3.0,,
NOR,18.0,0 days 00:01:18.118000,MEDIUM,3.0,,
NOR,19.0,0 days 00:01:16.877000,MEDIUM,3.0,,
NOR,20.0,0 days 00:01:16.598000,MEDIUM,3.0,,
NOR,21.0,0 days 00:01:16.974000,MEDIUM,3.0,,
NOR,22.0,0 days 00:01:17.029000,MEDIUM,3.0,,
NOR,23.0,0 days 00:01:19.051000,MEDIUM,3.0,,
NOR,24.0,0 days 00:01:17.212000,MEDIUM,3.0,,
NOR,25.0,0 days 00:01:16.692000,MEDIUM,3.0,,
NOR,26.0,0 days 00:01:16.454000,MEDIUM,3.0,,
NOR,27.0,0 days 00:01:16.187000,MEDIUM,3.0,,
NOR,28.0,0 days 00:01:16.169000,MEDIUM,3.0,,
NOR,29.0,0 days 00:01:16.238000,MEDIUM,3.0,,
NOR,30.0,0 days 00:01:42.958000,MEDIUM,3.0,,
NOR,31.0,0 days 00:01:43.679000,MEDIUM,3.0,,
NOR,32.0,0 days 00:01:18.818000,MEDIUM,3.0,,
NOR,33.0,0 days 00:01:16.514000,MEDIUM,3.0,,
NOR,34.0,0 days 00:01:16.797000,MEDIUM,3.0,,
NOR,35.0,0 days 00:01:16.614000,MEDIUM,3.0,,
NOR,36.0,0 days 00:01:15.845000,MEDIUM,3.0,,
NOR,37.0,0 days 00:01:16.361000,MEDIUM,3.0,,
NOR,38.0,0 days 00:01:16.014000,MEDIUM,3.0,,
NOR,39.0,,MEDIUM,3.0,,
GAS,1.0,0 days 00:01:35.442000,MEDIUM,1.0,,
GAS,2.0,0 days 00:01:26.222000,MEDIUM,1.0,,
GAS,3.0,0 days 00:01:20.561000,MEDIUM,1.0,,
GAS,4.0,0 days 00:01:20.937000,MEDIUM,1.0,,
GAS,5.0,0 days 00:01:20.946000,MEDIUM,1.0,,
GAS,6.0,0 days 00:01:19.779000,MEDIUM,1.0,,
GAS,7.0,0 days 00:01:19.013000,MEDIUM,1.0,,
GAS,8.0,0 days 00:01:18.469000,MEDIUM,1.0,,
GAS,9.0,0 days 00:01:17.916000,MEDIUM,1.0,,
GAS,10.0,0 days 00:01:17.790000,MEDIUM,1.0,,
GAS,11.0,0 days 00:01:18.575000,MEDIUM,1.0,,
GAS,12.0,0 days 00:01:19.019000,MEDIUM,1.0,,
GAS,13.0,0 days 00:01:19.232000,MEDIUM,1.0,,
GAS,14.0,0 days 00:01:18.013000,MEDIUM,1.0,,
GAS,15.0,0 days 00:01:17.595000,MEDIUM,1.0,,
GAS,16.0,0 days 00:01:17.569000,MEDIUM,1.0,,
GAS,17.0,0 days 00:01:17.633000,MEDIUM,1.0,,
GAS,18.0,0 days 00:01:17.456000,MEDIUM,1.0,,
GAS,19.0,0 days 00:01:17.419000,MEDIUM,1.0,,
GAS,20.0,0 days 00:01:17.507000,MEDIUM,1.0,,
GAS,21.0,0 days 00:01:17.774000,MEDIUM,1.0,,
GAS,22.0,0 days 00:01:17.432000,MEDIUM,1.0,,
GAS,23.0,0 days 00:01:18.091000,MEDIUM,1.0,,
GAS,24.0,0 days 00:01:17.292000,MEDIUM,1.0,,
GAS,25.0,0 days 00:01:17.319000,MEDIUM,1.0,,
GAS,26.0,0 days 00:01:17.098000,MEDIUM,1.0,,
GAS,27.0,0 days 00:01:17.050000,MEDIUM,1.0,,
GAS,28.0,0 days 00:01:16.981000,MEDIUM,1.0,,
GAS,29.0,0 days 00:01:16.867000,MEDIUM,1.0,,
GAS,30.0,0 days 00:01:52.733000,MEDIUM,1.0,,0 days 01:42:14.245000
GAS,31.0,0 days 00:01:44.736000,HARD,2.0,0 days 01:42:39.932000,
GAS,32.0,0 days 00:01:20.704000,HARD,2.0,,
GAS,33.0,0 days 00:01:18.117000,HARD,2.0,,
GAS,34.0,0 days 00:01:17.469000,HARD,2.0,,
GAS,35.0,0 days 00:01:17.389000,HARD,2.0,,
GAS,36.0,0 days 00:01:17.233000,HARD,2.0,,
GAS,37.0,0 days 00:01:16.922000,HARD,2.0,,
GAS,38.0,0 days 00:01:18.909000,HARD,2.0,,
GAS,39.0,0 days 00:01:16.835000,HARD,2.0,,
GAS,40.0,0 days 00:01:16.585000,HARD,2.0,,
GAS,41.0,0 days 00:01:16.395000,HARD,2.0,,
GAS,42.0,0 days 00:01:16.245000,HARD,2.0,,
GAS,43.0,0 days 00:01:16.219000,HARD,2.0,,
GAS,44.0,0 days 00:01:17.859000,HARD,2.0,,
GAS,45.0,0 days 00:01:33.480000,HARD,2.0,,
GAS,46.0,0 days 00:01:16.888000,HARD,2.0,,
GAS,47.0,0 days 00:01:18.366000,HARD,2.0,,
GAS,48.0,0 days 00:01:17.589000,HARD,2.0,,
GAS,49.0,0 days 00:01:16.686000,HARD,2.0,,
GAS,50.0,0 days 00:01:16.065000,HARD,2.0,,
GAS,51.0,0 days 00:01:21.545000,HARD,2.0,,
GAS,52.0,0 days 00:01:43.810000,HARD,2.0,,
